order_id,timestamp,action,commodity,qty_ton,price_baht_kg,counterparty,date,notes
1,2026-08-31 01:57:55,buy,ข้าวท่อน,300,10.5,โรงสีนครหลวงชัยนาท,2026-08-29,
2,2026-08-31 01:57:57,buy,รำดิบ,30,8.7,ราชสาส์นไรซ์,2026-08-31,
3,2026-08-31 01:58:00,buy,รำดิบ,30,8.8,ศิริพร,2026-08-31,
4,2026-08-31 01:58:03,buy,รำดิบ,30,8.9,นครหลวงชัยนาท,2026-08-31,
5,2026-08-31 01:58:07,buy,รำสด,30,8.7,โรงสีวิจิตรธัญญา,,นัดรับวันพรุ่งนี้ช่วงเช้า
6,2026-08-31 01:58:10,buy,ข้าวท่อน,60,10.4,โรงสีธนสมบัติหันคา,,ของพร้อมขึ้น 1 พ่วง
7,2026-08-31 01:58:10,buy,รำสด,30,8.7,โรงสีธนสมบัติหันคา,,รอนัดรับของจากทางโรงสี
8,2026-08-31 01:58:13,buy,รำดิบ,30,9.2,มังกรทอง,2026-08-31,
9,2026-08-31 07:01:21,buy,ข้าวท่อน,150,10.5,โรงสีวัจณสุรัตน์,,
10,2026-08-31 07:53:05,buy,รำ,30,8.6,ราชสาส์นไรซ์,2026-09-01,
11,2026-08-31 07:53:36,buy,รำดิบ,30,8.9,นครหลวงชัยนาท,2026-09-01,
12,2026-08-31 08:38:03,buy,ข้าวท่อน,60,10.4,โรงสีเจริญทรัพย์,,ของพร้อมขึ้น
13,2026-09-01 02:11:30,buy,ปลายข้าวรวม,60,10.4,โรงสีโชคนานานคร,,รอนัดรับของจากทางโรงสี
14,2026-09-01 02:16:10,buy,ปลายข้าว,30,9.7,โรงสีสุขนิรันดร์,,
15,2026-09-01 02:16:10,buy,ต้นปทุม,120,18.3,โรงสีสุขนิรันดร์,,
16,2026-09-01 02:29:44,sell,รำ,30,9.2,ชัยภูมิ,,
17,2026-09-01 02:33:37,buy,ข้าวท่อน,60,10.5,สำเภาทอง,,
18,2026-09-01 02:50:57,buy,รำมะลิ,90,9.1,มโนรมย์ธัญญกิจ,,
19,2026-09-01 04:31:36,buy,ท่อนดีด,30,9.9,อาภาภรณ์,,ส่งถึงโคราช
20,2026-09-01 04:52:22,buy,ข้าวท่อน,120,10.5,โรงสี ช.สิริยี่สิบไพบูลย์,,ของพร้อมขึ้น
21,2026-09-01 07:27:24,buy,รำ,60,6.8,ซีพี สุพรรณบุรี,,
22,2026-09-01 07:35:10,sell,ข้าวท่อน,500,11.4,CP PT,,
23,2026-09-01 08:25:47,buy,ท่อนติดเหลือง,25,10.55,อ้อมข้าวดีด,,รับของสุรินทร์
24,2026-09-01 10:30:34,sell,รำ,300,9.6,ไทยร่วมใจ,,
25,2026-09-01 10:30:34,sell,รำ,300,9.7,ไทยร่วมใจ,,ไทยร่วมใจโคฯ
26,2026-09-02 02:09:05,buy,ท่อนดีด,30,9.5,โรงสีโตมี,,
