from_lat,from_lon,to_lat,to_lon,km,source
13.67603,100.60363,16.28676,102.78511,446.0,google
13.67603,100.60363,14.78251,101.9564,251.7,google
13.67603,100.60363,14.71108,101.44291,187.8,google
13.67603,100.60363,14.71352,100.82881,146.9,google
13.67603,100.60363,14.73648,102.11758,272.1,google
13.67603,100.60363,15.86157,102.01584,352.2,google
13.67603,100.60363,17.01995,100.32026,420.8,google
13.67603,100.60363,14.9075,100.08686,176.7,google
13.67603,100.60363,14.57319,100.08287,140.7,google
16.28676,102.78511,13.67603,100.60363,446.8,google
16.28676,102.78511,14.78251,101.9564,216.4,google
16.28676,102.78511,14.71108,101.44291,261.3,google
16.28676,102.78511,14.71352,100.82881,350.0,google
16.28676,102.78511,14.73648,102.11758,203.5,google
16.28676,102.78511,15.86157,102.01584,119.9,google
16.28676,102.78511,17.01995,100.32026,346.8,google
16.28676,102.78511,14.9075,100.08686,418.6,google
16.28676,102.78511,14.57319,100.08287,432.4,google
14.78251,101.9564,13.67603,100.60363,255.6,google
14.78251,101.9564,16.28676,102.78511,213.3,google
14.78251,101.9564,14.71108,101.44291,72.2,google
14.78251,101.9564,14.71352,100.82881,158.7,google
14.78251,101.9564,14.73648,102.11758,20.7,google
14.78251,101.9564,15.86157,102.01584,162.2,google
14.78251,101.9564,17.01995,100.32026,377.2,google
14.78251,101.9564,14.9075,100.08686,262.4,google
14.78251,101.9564,14.57319,100.08287,241.1,google
14.71108,101.44291,13.67603,100.60363,189.8,google
14.71108,101.44291,16.28676,102.78511,258.6,google
14.71108,101.44291,14.78251,101.9564,69.9,google
14.71108,101.44291,14.71352,100.82881,92.9,google
14.71108,101.44291,14.73648,102.11758,90.3,google
14.71108,101.44291,15.86157,102.01584,169.0,google
14.71108,101.44291,17.01995,100.32026,332.8,google
14.71108,101.44291,14.9075,100.08686,196.6,google
14.71108,101.44291,14.57319,100.08287,175.3,google
14.71352,100.82881,13.67603,100.60363,147.5,google
14.71352,100.82881,16.28676,102.78511,345.3,google
14.71352,100.82881,14.78251,101.9564,151.0,google
14.71352,100.82881,14.71108,101.44291,87.2,google
14.71352,100.82881,14.73648,102.11758,171.5,google
14.71352,100.82881,15.86157,102.01584,227.8,google
14.71352,100.82881,17.01995,100.32026,306.6,google
14.71352,100.82881,14.9075,100.08686,106.3,google
14.71352,100.82881,14.57319,100.08287,108.7,google
14.73648,102.11758,13.67603,100.60363,270.8,google
14.73648,102.11758,16.28676,102.78511,202.4,google
14.73648,102.11758,14.78251,101.9564,20.6,google
14.73648,102.11758,14.71108,101.44291,87.4,google
14.73648,102.11758,14.71352,100.82881,174.0,google
14.73648,102.11758,15.86157,102.01584,169.8,google
14.73648,102.11758,17.01995,100.32026,392.4,google
14.73648,102.11758,14.9075,100.08686,277.7,google
14.73648,102.11758,14.57319,100.08287,256.4,google
15.86157,102.01584,13.67603,100.60363,353.4,google
15.86157,102.01584,16.28676,102.78511,121.1,google
15.86157,102.01584,14.78251,101.9564,159.5,google
15.86157,102.01584,14.71108,101.44291,169.8,google
15.86157,102.01584,14.71352,100.82881,227.0,google
15.86157,102.01584,14.73648,102.11758,154.3,google
15.86157,102.01584,17.01995,100.32026,327.5,google
15.86157,102.01584,14.9075,100.08686,306.5,google
15.86157,102.01584,14.57319,100.08287,321.8,google
17.01995,100.32026,13.67603,100.60363,415.0,google
17.01995,100.32026,16.28676,102.78511,346.6,google
17.01995,100.32026,14.78251,101.9564,374.9,google
17.01995,100.32026,14.71108,101.44291,331.8,google
17.01995,100.32026,14.71352,100.82881,303.9,google
17.01995,100.32026,14.73648,102.11758,395.3,google
17.01995,100.32026,15.86157,102.01584,323.9,google
17.01995,100.32026,14.9075,100.08686,262.2,google
17.01995,100.32026,14.57319,100.08287,304.8,google
14.9075,100.08686,13.67603,100.60363,176.5,google
14.9075,100.08686,16.28676,102.78511,416.8,google
14.9075,100.08686,14.78251,101.9564,249.5,google
14.9075,100.08686,14.71108,101.44291,185.7,google
14.9075,100.08686,14.71352,100.82881,104.8,google
14.9075,100.08686,14.73648,102.11758,270.0,google
14.9075,100.08686,15.86157,102.01584,303.4,google
14.9075,100.08686,17.01995,100.32026,272.1,google
14.9075,100.08686,14.57319,100.08287,43.1,google
14.57319,100.08287,13.67603,100.60363,140.8,google
14.57319,100.08287,16.28676,102.78511,427.2,google
14.57319,100.08287,14.78251,101.9564,232.9,google
14.57319,100.08287,14.71108,101.44291,169.1,google
14.57319,100.08287,14.71352,100.82881,98.1,google
14.57319,100.08287,14.73648,102.11758,253.4,google
14.57319,100.08287,15.86157,102.01584,318.7,google
14.57319,100.08287,17.01995,100.32026,326.0,google
14.57319,100.08287,14.9075,100.08686,43.1,google
13.67603,100.60363,15.18526,100.23194,195.6,google
13.67603,100.60363,14.18789,100.47625,71.7,google
13.67603,100.60363,15.05041,101.70358,244.8,google
13.67603,100.60363,13.40652,101.20732,91.6,google
13.67603,100.60363,13.7447,102.324,209.1,google
13.67603,100.60363,14.62893,103.40957,413.7,google
13.67603,100.60363,15.3708,100.13534,222.9,google
13.67603,100.60363,13.82633,101.25721,104.4,google
13.67603,100.60363,13.97256,102.7732,270.6,google
13.67603,100.60363,13.95154,100.97472,68.8,google
16.28676,102.78511,15.18526,100.23194,389.3,google
16.28676,102.78511,14.18789,100.47625,406.1,google
16.28676,102.78511,15.05041,101.70358,212.7,google
16.28676,102.78511,13.40652,101.20732,418.5,google
16.28676,102.78511,13.7447,102.324,346.3,google
16.28676,102.78511,14.62893,103.40957,254.6,google
16.28676,102.78511,15.3708,100.13534,394.9,google
16.28676,102.78511,13.82633,101.25721,391.6,google
16.28676,102.78511,13.97256,102.7732,302.3,google
16.28676,102.78511,13.95154,100.97472,398.0,google
14.78251,101.9564,15.18526,100.23194,237.1,google
14.78251,101.9564,14.18789,100.47625,214.8,google
14.78251,101.9564,15.05041,101.70358,54.8,google
14.78251,101.9564,13.40652,101.20732,222.9,google
14.78251,101.9564,13.7447,102.324,178.4,google
14.78251,101.9564,14.62893,103.40957,162.3,google
14.78251,101.9564,15.3708,100.13534,252.0,google
14.78251,101.9564,13.82633,101.25721,196.0,google
14.78251,101.9564,13.97256,102.7732,180.1,google
14.78251,101.9564,13.95154,100.97472,206.8,google
