counterparty,role,matched_station,province,amphur,lat,lon,score,needs_review,note
CP,sell,DTC,กรุงเทพมหานคร,บางนา,13.676031,100.603629,0.4,True,สาขาระบุใน notes ของ ledger (SK/KR/PT/KK) — ต้องแยกสาขาทีหลัง
CP KK,sell,CP ขอนแก่น,ขอนแก่น,เมืองขอนแก่น,16.286758,102.785108,1.0,False,ยืนยัน (Knot): CP ขอนแก่น
CP PT,sell,ซีพี ปักธงชัย,นครราชสีมา,ปักธงชัย,14.782511,101.956402,1.0,False,ยืนยัน (Knot): ซีพีปักธงชัย(โคราช)
ก.พาณิชย์ ปากช่อง,buy,ลานข้าวโพดก.พานิช ปากช่อง,นครราชสีมา,ปากช่อง,14.711084,101.442907,0.98,False,
คาร์กิลล์มีทส์ สระบุรี,sell,คาร์กิลล์สระบุรี,สระบุรี,พระพุทธบาท,14.713519,100.828812,0.98,False,
คาร์กิลล์มีทส์ โคราช,sell,คาร์กิลล์มีทส์ โคราช,นครราชสีมา,โชคชัย,14.736481,102.117578,1.0,False,
ชัยภูมิ,sell,บจ.ชัยภูมิฟาร์ม,ชัยภูมิ,เมืองชัยภูมิ,15.861571,102.01584,1.0,False,
ซีพี ธัญญาบูลย์,buy,ธัญญาทิพย์,พิษณุโลก,วัดโบสถ์,17.019953,100.320255,0.58,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
ซีพี สุพรรณบุรี,buy,ซีพีเดิมบาง(สุพรรณบุรี),สุพรรณบุรี,เดิมบางนางบวช,14.907505,100.086865,0.92,False,
ธนภัทร,buy,โรงสีธนภัทรพูนแสง,สุพรรณบุรี,ดอนเจดีย์,14.573187,100.082868,0.92,False,
นครหลวงชัยนาท,buy,นครหลวงชัยนาท,ชัยนาท,สรรพยา,15.18526,100.231937,1.0,False,
บจ.ไทยร่วมใจน้ำมันพืช,sell,บจ.ไทยร่วมใจ,พระนครศรีอยุธยา,บางไทร,14.187889,100.476254,0.92,False,
บจก.ไทยร่วมใจ บางไทร,sell,บจ.ไทยร่วมใจ,พระนครศรีอยุธยา,บางไทร,14.187889,100.476254,0.92,False,
บจก.ไทยร่วมใจ โคราช,sell,ไทยร่วมใจโคราชขึ้นรำสกัด,นครราชสีมา,สีคิ้ว,15.050413,101.703579,1.0,False,
พนัสโภคภัณฑ์,sell,พนัสโภคภัณฑ์,ชลบุรี,พนัสนิคม,13.406516,101.207317,1.0,False,
พูลศรีวัฒนา,buy,ศรีวัฒนา,สระแก้ว,วัฒนานคร,13.744699,102.323999,0.92,False,
